Model,Region,Date,EVI_Mean,EVI_Lower,EVI_Upper
BiLSTM,Erbil,2026-01-01,0.141991,0.131963,0.15202
BiLSTM,Erbil,2026-02-01,0.200295,0.186759,0.213831
BiLSTM,Erbil,2026-03-01,0.260163,0.244899,0.275427
BiLSTM,Erbil,2026-04-01,0.30945,0.291367,0.327534
BiLSTM,Erbil,2026-05-01,0.197288,0.178104,0.216472
BiLSTM,Erbil,2026-06-01,0.125236,0.116133,0.134338
BiLSTM,Erbil,2026-07-01,0.105421,0.09841,0.112431
BiLSTM,Erbil,2026-08-01,0.097885,0.09126,0.10451
BiLSTM,Erbil,2026-09-01,0.095319,0.08813,0.102508
BiLSTM,Erbil,2026-10-01,0.095709,0.089626,0.101792
BiLSTM,Erbil,2026-11-01,0.098772,0.092176,0.105369
BiLSTM,Erbil,2026-12-01,0.111275,0.102671,0.119879
BiLSTM,Erbil,2027-01-01,0.140184,0.127548,0.152821
BiLSTM,Erbil,2027-02-01,0.198464,0.183703,0.213225
BiLSTM,Erbil,2027-03-01,0.25191,0.237736,0.266084
BiLSTM,Erbil,2027-04-01,0.303594,0.28365,0.323537
BiLSTM,Erbil,2027-05-01,0.208456,0.185175,0.231738
BiLSTM,Erbil,2027-06-01,0.1259,0.116646,0.135154
BiLSTM,Erbil,2027-07-01,0.104822,0.096925,0.112719
BiLSTM,Erbil,2027-08-01,0.096894,0.089864,0.103924
BiLSTM,Erbil,2027-09-01,0.094856,0.087832,0.101881
BiLSTM,Erbil,2027-10-01,0.095913,0.088744,0.103082
BiLSTM,Erbil,2027-11-01,0.098941,0.091937,0.105946
BiLSTM,Erbil,2027-12-01,0.111426,0.102987,0.119865
BiLSTM,Erbil,2028-01-01,0.140881,0.128468,0.153295
BiLSTM,Erbil,2028-02-01,0.201971,0.188257,0.215684
BiLSTM,Erbil,2028-03-01,0.259584,0.243184,0.275984
BiLSTM,Erbil,2028-04-01,0.315177,0.2896,0.340753
BiLSTM,Erbil,2028-05-01,0.205279,0.172721,0.237836
BiLSTM,Erbil,2028-06-01,0.126154,0.114408,0.137899
BiLSTM,Erbil,2028-07-01,0.104219,0.09474,0.113697
BiLSTM,Erbil,2028-08-01,0.096468,0.088521,0.104415
BiLSTM,Erbil,2028-09-01,0.09474,0.086621,0.102859
BiLSTM,Erbil,2028-10-01,0.095703,0.088348,0.103057
BiLSTM,Erbil,2028-11-01,0.09952,0.091332,0.107708
BiLSTM,Erbil,2028-12-01,0.111587,0.101593,0.121581
BiLSTM,Erbil,2029-01-01,0.140731,0.126899,0.154564
BiLSTM,Erbil,2029-02-01,0.20131,0.186107,0.216512
BiLSTM,Erbil,2029-03-01,0.25945,0.237827,0.281073
BiLSTM,Erbil,2029-04-01,0.312738,0.286527,0.338949
BiLSTM,Erbil,2029-05-01,0.209175,0.178446,0.239903
BiLSTM,Erbil,2029-06-01,0.125219,0.113097,0.137342
BiLSTM,Erbil,2029-07-01,0.103873,0.093669,0.114077
BiLSTM,Erbil,2029-08-01,0.096446,0.08699,0.105902
BiLSTM,Erbil,2029-09-01,0.095107,0.086445,0.103769
BiLSTM,Erbil,2029-10-01,0.09546,0.087104,0.103817
BiLSTM,Erbil,2029-11-01,0.099546,0.090234,0.108858
BiLSTM,Erbil,2029-12-01,0.111794,0.100585,0.123003
BiLSTM,Erbil,2030-01-01,0.140439,0.126998,0.153881
