date,Erbil,Duhok,Sulaymaniyah,Halabja
2023-09-01,0.232426112,0.193891169,0.0,0.0
2023-10-01,9.480789046,23.82796004,3.114106924,3.515843349
2023-11-01,97.67877576,172.8340204,87.81640055,101.7436885
2023-12-01,85.05737188,126.7679275,73.51840697,97.02467077
2024-01-01,154.4785758,218.8530471,133.3256371,174.4083616
2024-02-01,118.4181365,96.86943665,130.2038263,136.0046581
2024-03-01,129.1976749,218.1881233,142.6296087,162.2421646
2024-04-01,58.15258948,79.57760583,45.38145782,50.62240497
2024-05-01,111.8600054,140.0936754,113.6291487,130.2077175
2024-06-01,1.43318872,1.149909963,0.168232352,0.091207085
2024-07-01,0.092807755,0.013930658,0.0,0.0
2024-08-01,0.057504067,0.00408139,0.0,0.0
2024-09-01,2.170658216,4.485031856,0.081923963,0.0
2024-10-01,4.039757321,2.364838801,2.078363046,1.399390419
2024-11-01,55.90579582,79.82980192,100.1260351,143.3156593
2024-12-01,31.2114493,40.06173731,30.89582857,46.29248375
